timeStamp,elapsed,label,responseCode,responseMessage,success,bytes,sentBytes,URL,Latency,Connect
1749400433756,81,Create product,201,Created,true,1382,719,http://localhost:3001/api/products,81,2
1749400433866,12,Create product,201,Created,true,1387,726,http://localhost:3001/api/products,12,1
1749400433819,77,Create product,201,Created,true,1385,719,http://localhost:3001/api/products,77,1
1749400433912,10,Create product,201,Created,true,1378,713,http://localhost:3001/api/products,10,1
1749400433955,12,Create product,201,Created,true,1373,712,http://localhost:3001/api/products,12,1
1749400434006,19,Create product,201,Created,true,1374,710,http://localhost:3001/api/products,19,1
1749400434056,25,Create product,201,Created,true,1389,730,http://localhost:3001/api/products,25,2
1749400434106,11,Create product,201,Created,true,1385,725,http://localhost:3001/api/products,11,1
1749400434155,10,Create product,201,Created,true,1385,719,http://localhost:3001/api/products,10,1
1749400434206,14,Create product,201,Created,true,1378,718,http://localhost:3001/api/products,14,1
1749400434256,20,Create product,201,Created,true,1373,712,http://localhost:3001/api/products,20,2
1749400434305,10,Create product,201,Created,true,1380,716,http://localhost:3001/api/products,10,1
1749400434356,17,Create product,201,Created,true,1355,694,http://localhost:3001/api/products,17,1
1749400434406,13,Create product,201,Created,true,1370,705,http://localhost:3001/api/products,13,1
1749400434456,15,Create product,201,Created,true,1373,714,http://localhost:3001/api/products,15,1
1749400434506,12,Create product,201,Created,true,1382,716,http://localhost:3001/api/products,12,1
1749400434557,15,Create product,201,Created,true,1386,721,http://localhost:3001/api/products,15,2
1749400434607,15,Create product,201,Created,true,1394,731,http://localhost:3001/api/products,15,1
1749400434656,10,Create product,201,Created,true,1363,700,http://localhost:3001/api/products,10,1
1749400434706,10,Create product,201,Created,true,1386,723,http://localhost:3001/api/products,10,1
1749400434756,9,Create product,201,Created,true,1369,708,http://localhost:3001/api/products,9,1
1749400434806,9,Create product,201,Created,true,1372,715,http://localhost:3001/api/products,9,0
1749400434858,27,Create product,201,Created,true,1386,721,http://localhost:3001/api/products,27,3
1749400434906,9,Create product,201,Created,true,1363,701,http://localhost:3001/api/products,9,0
1749400434955,10,Create product,201,Created,true,1380,719,http://localhost:3001/api/products,10,1
1749400435005,11,Create product,201,Created,true,1379,715,http://localhost:3001/api/products,11,1
1749400435054,12,Create product,201,Created,true,1382,719,http://localhost:3001/api/products,12,1
1749400435106,14,Create product,201,Created,true,1385,719,http://localhost:3001/api/products,14,1
1749400435156,9,Create product,201,Created,true,1387,726,http://localhost:3001/api/products,9,1
1749400435206,9,Create product,201,Created,true,1378,713,http://localhost:3001/api/products,9,0
1749400435255,17,Create product,201,Created,true,1374,713,http://localhost:3001/api/products,17,2
1749400435305,9,Create product,201,Created,true,1374,710,http://localhost:3001/api/products,9,1
1749400435354,11,Create product,201,Created,true,1390,731,http://localhost:3001/api/products,11,1
1749400435406,9,Create product,201,Created,true,1385,725,http://localhost:3001/api/products,9,1
1749400435455,10,Create product,201,Created,true,1385,719,http://localhost:3001/api/products,10,1
1749400435505,9,Create product,201,Created,true,1378,718,http://localhost:3001/api/products,9,0
1749400435555,10,Create product,201,Created,true,1382,719,http://localhost:3001/api/products,10,1
1749400435606,10,Create product,201,Created,true,1385,719,http://localhost:3001/api/products,10,1
1749400435656,10,Create product,201,Created,true,1387,726,http://localhost:3001/api/products,10,1
1749400435705,9,Create product,201,Created,true,1378,713,http://localhost:3001/api/products,9,1
