timeStamp,elapsed,label,responseCode,responseMessage,success,bytes,sentBytes,URL,Latency,Connect
1749402414751,125,Create product,200,OK,true,1404,1386,http://localhost:3000/graphql,125,1
1749402414810,94,Create product,200,OK,true,1410,1386,http://localhost:3000/graphql,94,1
1749402414904,13,Create product,200,OK,true,1400,1380,http://localhost:3000/graphql,13,1
1749402414857,86,Create product,200,OK,true,1409,1393,http://localhost:3000/graphql,86,2
1749402414952,12,Create product,200,OK,true,1395,1379,http://localhost:3000/graphql,12,0
1749402415001,13,Create product,200,OK,true,1396,1377,http://localhost:3000/graphql,13,0
1749402415051,13,Create product,200,OK,true,1411,1397,http://localhost:3000/graphql,13,1
1749402415101,13,Create product,200,OK,true,1407,1392,http://localhost:3000/graphql,13,1
1749402415152,13,Create product,200,OK,true,1410,1386,http://localhost:3000/graphql,13,1
1749402415201,12,Create product,200,OK,true,1402,1385,http://localhost:3000/graphql,12,1
1749402415252,14,Create product,200,OK,true,1395,1379,http://localhost:3000/graphql,14,3
1749402415300,17,Create product,200,OK,true,1404,1383,http://localhost:3000/graphql,17,1
1749402415351,11,Create product,200,OK,true,1380,1361,http://localhost:3000/graphql,11,1
1749402415401,11,Create product,200,OK,true,1395,1372,http://localhost:3000/graphql,11,1
1749402415450,12,Create product,200,OK,true,1395,1381,http://localhost:3000/graphql,12,1
1749402415501,11,Create product,200,OK,true,1404,1383,http://localhost:3000/graphql,11,1
1749402415552,22,Create product,200,OK,true,1408,1388,http://localhost:3000/graphql,22,2
1749402415602,11,Create product,200,OK,true,1416,1398,http://localhost:3000/graphql,11,1
1749402415651,11,Create product,200,OK,true,1388,1367,http://localhost:3000/graphql,11,1
1749402415701,11,Create product,200,OK,true,1411,1390,http://localhost:3000/graphql,11,1
1749402415750,11,Create product,200,OK,true,1391,1375,http://localhost:3000/graphql,11,1
1749402415799,11,Create product,200,OK,true,1397,1382,http://localhost:3000/graphql,11,1
1749402415849,12,Create product,200,OK,true,1408,1388,http://localhost:3000/graphql,12,1
1749402415900,11,Create product,200,OK,true,1385,1368,http://localhost:3000/graphql,11,1
1749402415950,11,Create product,200,OK,true,1402,1386,http://localhost:3000/graphql,11,1
1749402415999,13,Create product,200,OK,true,1401,1382,http://localhost:3000/graphql,13,1
1749402416050,16,Create product,200,OK,true,1404,1386,http://localhost:3000/graphql,15,1
1749402416102,37,Create product,200,OK,true,1410,1386,http://localhost:3000/graphql,37,2
1749402416151,13,Create product,200,OK,true,1409,1393,http://localhost:3000/graphql,13,0
1749402416202,22,Create product,200,OK,true,1400,1380,http://localhost:3000/graphql,22,3
1749402416250,10,Create product,200,OK,true,1396,1380,http://localhost:3000/graphql,10,0
1749402416299,15,Create product,200,OK,true,1396,1377,http://localhost:3000/graphql,15,1
1749402416350,20,Create product,200,OK,true,1412,1398,http://localhost:3000/graphql,20,1
1749402416400,12,Create product,200,OK,true,1407,1392,http://localhost:3000/graphql,12,1
1749402416450,11,Create product,200,OK,true,1410,1386,http://localhost:3000/graphql,11,1
1749402416499,16,Create product,200,OK,true,1402,1385,http://localhost:3000/graphql,16,1
1749402416550,20,Create product,200,OK,true,1404,1386,http://localhost:3000/graphql,20,1
1749402416599,12,Create product,200,OK,true,1410,1386,http://localhost:3000/graphql,12,1
1749402416649,11,Create product,200,OK,true,1409,1393,http://localhost:3000/graphql,11,1
1749402416699,11,Create product,200,OK,true,1400,1380,http://localhost:3000/graphql,11,1
