timeStamp,elapsed,label,responseCode,responseMessage,success,bytes,sentBytes,URL,Latency,Connect
1749398036091,92,Create purchase,201,Created,true,2358,1172,http://localhost:3001/api/purchase,92,2
1749398036182,17,Create purchase,201,Created,true,2367,1171,http://localhost:3001/api/purchase,17,1
1749398036213,3,Create purchase,400,Bad Request,false,348,1171,http://localhost:3001/api/purchase,3,1
1749398036135,89,Create purchase,201,Created,true,2365,1170,http://localhost:3001/api/purchase,89,1
1749398036251,15,Create purchase,201,Created,true,2355,1170,http://localhost:3001/api/purchase,15,0
1749398036291,15,Create purchase,201,Created,true,2363,1171,http://localhost:3001/api/purchase,15,1
1749398036333,15,Create purchase,201,Created,true,2347,1172,http://localhost:3001/api/purchase,15,1
1749398036371,14,Create purchase,201,Created,true,2363,1172,http://localhost:3001/api/purchase,14,1
1749398036411,14,Create purchase,201,Created,true,2354,1172,http://localhost:3001/api/purchase,14,1
1749398036451,15,Create purchase,201,Created,true,2351,1170,http://localhost:3001/api/purchase,15,1
1749398036492,14,Create purchase,201,Created,true,2360,1171,http://localhost:3001/api/purchase,14,1
1749398036531,14,Create purchase,201,Created,true,2366,1172,http://localhost:3001/api/purchase,14,1
1749398036571,14,Create purchase,201,Created,true,2345,1170,http://localhost:3001/api/purchase,14,1
1749398036610,14,Create purchase,201,Created,true,2369,1171,http://localhost:3001/api/purchase,14,1
1749398036651,14,Create purchase,201,Created,true,2356,1171,http://localhost:3001/api/purchase,14,1
1749398036692,13,Create purchase,201,Created,true,2357,1173,http://localhost:3001/api/purchase,13,1
1749398036730,14,Create purchase,201,Created,true,2359,1171,http://localhost:3001/api/purchase,14,1
1749398036771,14,Create purchase,201,Created,true,2351,1171,http://localhost:3001/api/purchase,14,1
1749398036811,16,Create purchase,201,Created,true,2362,1170,http://localhost:3001/api/purchase,16,1
1749398036851,15,Create purchase,201,Created,true,2352,1169,http://localhost:3001/api/purchase,15,1
1749398036891,13,Create purchase,201,Created,true,2354,1170,http://localhost:3001/api/purchase,13,1
1749398036932,13,Create purchase,201,Created,true,2347,1169,http://localhost:3001/api/purchase,13,1
1749398036972,13,Create purchase,201,Created,true,2360,1171,http://localhost:3001/api/purchase,13,1
1749398037012,16,Create purchase,201,Created,true,2358,1172,http://localhost:3001/api/purchase,16,1
1749398037052,14,Create purchase,201,Created,true,2350,1171,http://localhost:3001/api/purchase,14,1
